input_state,alice_bits,branch_probability,fidelity
96,00,0.24999999999999994,1.0000000000000004
96,01,0.24999999999999994,1.0000000000000004
96,10,0.24999999999999994,1.0000000000000004
96,11,0.24999999999999994,1.0000000000000004
97,00,0.2499999999999999,1.0
97,01,0.2499999999999999,1.0
97,10,0.2499999999999999,1.0
97,11,0.2499999999999999,1.0
98,00,0.2499999999999999,1.0
98,01,0.2499999999999999,1.0
98,10,0.2499999999999999,1.0
98,11,0.2499999999999999,1.0
99,00,0.24999999999999994,1.0000000000000004
99,01,0.24999999999999994,1.0000000000000004
99,10,0.24999999999999994,1.0000000000000004
99,11,0.24999999999999994,1.0000000000000004
